id,name,review_content,rating,write_date
yeogi_accom_020_20131,전주 Q-큐,가성비 숙소 입니다주말에는 가성비로 쓸 수 있는 숙소입니다일단 가격이 쌉니다늦은 시간에 가면 사장님께서 숙소 업그레이드도 해줍니다근데 보통 업그레이드해주십니다하는데 그냥 아무말 하지 않고 해주셔서 숙소에 들어가면 알 수 있습니다가성비 숙소 이기 때문에 어느 정도 포기해야 할 것도 있습니다화장실은 조금 오래되었고 숙소도 좀 오래된 느낌이 납니다그래서 잠만 잔다면 꽤 괜찮은 숙소 입니다저렴한 숙소를 찾으신다면  여기 숙소를 추천합니다,4,1일 전
yeogi_accom_020_20132,전주 Q-큐,모텔은 도심 속 접근성이 뛰어난 숙소로 50인치    노하드  넷플릭스 이용이 가능한 엔터테인먼트 시설이 잘 갖춰져 있습니다 무료 와 넷플릭스 로그인 유지지원 서비스도 제공돼 편리해요   객실은 비교적 넓고 깔끔한 편이며 수압이 좋고 온수도 잘 나와 만족스럽다는 후기들이 많습니다  사장님과 직원분들도 친절하게 응대해 주시고 주차 공간이 넉넉해 이용하기 수월하다는 평이에요  대실 시간 유연하게 조정해 준다는 점도 장점 중 하나입니다  다만 몇몇 이용객은 담배 냄새가 객실 내외부에 남아있을 수 있다고 지적했으며 냄새에 민감한 분은 참고하시면 좋겠습니다   또한 체크인 이후 예약당일 환불이 불가하다는 점은 유의해야 합니다,3,9일 전
yeogi_accom_020_20133,전주 Q-큐,잘쉬다갑니다  편하게 쉬었어요가격이 싸고요  많이 친절하세요먼지랑 냄새가 좀 있는데 환기좀 시키면 괜찮은것 같아요새벽에 소음이 좀 있는데  창문닫으면 좀 괜찮아요침대는 보통이고요  자는데는 불편함 없어요냉장고에 물 2개 있고요  컴퓨터도 있어요스타일러도 있어서 옷 관리 할수 있고요 탁자도 있어서  배달음식 시켜 먹을수 있어요수압은 뜨거운물 차가운물 너무 확 왔다갔다해서한번씩 놀랄수 있어요  수압은 엄청 쌔요 주말빼곤 평일에  싼 가격으로 지낼수 있는 숙소 같아요,5,1개월 전
yeogi_accom_020_20134,전주 Q-큐,로가서 묵엇어요 방컨디션 너무 좋네요깡끔하고 화장실도깨끗 티비도 커요 스타일러도잇고요 ㅎㅎ 중화산동 가면 항상 여기로가는데 매번 친절하신 사장님 감사합니다 근처 할매맥주가서 한잔하고 들어와서 잣네여 편의점도 잇고 좋네여근데 편의점에서산 파인애플컵 냉장고에 두고왓ㅠㅠ 사장님 맛잇게드세여 ㅋㅋ 로가서 묵엇어요 방컨디션 너무 좋네요깡끔하고 화장실도깨끗 티비도 커요 스타일러도잇고요 ㅎㅎ 중화산동 가면 항상 여기로가는데 매번 친절하신 사장님 감사합니다 근처 할매맥주가서 한잔하고 들어와서 잣네여 편의점도 잇고 좋네여근데 편의점에서산 파인애플컵 냉장고에 두고왓ㅠㅠ 사장님 맛잇게드세여 ㅋㅋ,5,5일 전
yeogi_accom_020_20135,전주 Q-큐,6월16일 월요일 급히 전주를 가게 됐습니다 여기어때를 통해 숙박 예약을 하고 오후 2시정도 모텔에 도착 하였어요 입실 시간이 오후 3시인데도 사장님께서 4층 좋은 방으로 키를 내어 주시어 감사합니다성남에서 내려 가다 보니 전주에 좀 일찍 도착 할 때가 많은데 그때마다  친절히 맞아 주시는 사장님 고맙습니다항상 제가 말씀 드리지만 모텔 예약시 숙박료가 초가성비임평일 기준은 건물의 노후화는 좀 반영된 것이니 가만 하시길 바래요그렇다고 객실내 이용시설은은 낙후된게 없고 사용하기 좋답니다,5,12일 전
yeogi_accom_020_20136,전주 Q-큐,일 특성상 주에 5일 이상 출장을 다녀요전국에 호텔 모텔 펜션골고루 방문합니다오늘은 전주큐 솔직한 후기 작성해 볼게요먼저 프런트 직원분 친절하세요 개인적으로 침구 상태는 만족합니다 장점 스타일러 일회용품 종류별로 준비가 잘 되어있어요 가성비가 좋은 숙소입니다단점 청소 상태가 너무 안좋아요화장실 다른 사람이 버린 휴지있고타월은  이게 뭔가요바닥도 청소를 안하셨나요뭔지가 너무 많아요청소 신경 많이 쓰셔야 합니다컴퓨터 있음 냉장고 생수2병 있어요재방문 의사 없습니다,4,2개월 전
yeogi_accom_020_20137,전주 Q-큐,5월8일에도 전주 출장이 있어 모텔에 숙박 예약 하였습니다항상 저렴한 숙박료에 다시 한번 감사합니다모텔은 초가성비의 저렴한 숙박료와 전 객실내 스타일러가 비치되어 있으며 넷플릭스 및 기타 방송 채널 짱장하며 욕실 온수 및 수압도 좋고 다만 사향이 좀 떨어집니다이용 도객은 롬키 받으실때 컴퓨터 잘되는 방으로 달라 하면 됩니다이렇게 가성비가 좋은 이유는 모텔이 중화산동 술집 골목 내 초창기 건물이어서  건물의 약간의 노후화로 저렴한 숙박료를 받는 이유입니다하지만 숙박하는데에는 불편함이 없으며 이용시설물들도 다 괜찮습니다평일 2만원 대의  숙박 가격은 이러한 이유 등으로 저렴히 받는 것이니 이 리뷰를 보시는 분들은 참고 하시어 체크아웃 시 사장님 염장 지르는 푸념은 하지 마시기 바랍니다또한 숙소 근처는 술집 식당  편의점 등 인프라가 좋으니 숙소 예약시 이런 점도 고려 하시길 바래요모텔 사장님 항상 감사드립니다,5,1개월 전
yeogi_accom_020_20138,전주 Q-큐,중화산동 갈때마다 여기로 갑니다다른데갈필요가없어요 이가격에 이컨디션 좋아요 주변에 먹거리도 많고 청결상태 수압 아주좋아요 스타일러도잇어서 좋고요 암막도 잘되잇어 소음걱정도 없어요사장님도 엄청 친절하십니당 감사합니당중화산동 갈때마다 여기로 갑니다다른데갈필요가없어요 이가격에 이컨디션 좋아요 주변에 먹거리도 많고 청결상태 수압 아주좋아요 스타일러도잇어서 좋고요 암막도 잘되잇어 소음걱정도 없어요사장님도 엄청 친절하십니당 감사합니당,5,27일 전
yeogi_accom_020_20139,전주 Q-큐,어린이날 연휴에 당일에 급하게 이용을 할만한 대실이 있을까 싶었는데 저렴한 가격에 이용할수 있는 곳이 여기밖에 없었어서 급하게 예약하고 들어갔습니다 그런데 생각보다 침대와 화장실의 청결이 깨끗해서 좋았고 샤워기 수압이 진짜 엄청 쎄서 좋은 시간 보내고 깨끗하게 씻을 수 있어서 정말 좋았습니다 ㅎㅎ 그리고 요즘은 어매니티를 잘 안주는 경우가 많은데 들어가기 전에 무료로 주셨고 제품도 엄청 다양하고 많이 들어가있어서 굳이 안쓰더라도 여행용품으로 쓰기 너무 좋을것 같습니다 잘 이용하다가 갑니다,5,1개월 전
yeogi_accom_020_20140,전주 Q-큐,사장님이 엄청 친절하셔서 맘 편하게 지냈습니다  요청사항도 잘 들어주시고요 처음에 들어갔을때 여관 느낌이 났는데 들어가니까 깔끔하고 괜찮았습니다 인테리어가 노후되었지만 솔직히 이가격이면 너무 훌륭한 정도라고 생각듭니다 청소해주시는 분들은 살짝 ㅠ 꼼꼼하게 해주시진 않는것 같아요 스타일러가 있어서 좋았지만 안에 물도 안채워져있고 처음 사용하시는 분들은 다소 당황하실듯 합니다 그리고 사용했을때 꿉꿉한 냄새가 방전체와 옷에 베어서 너무 힘들었어요 ㅠ 머리아픈그리고 샴푸 욕실도구가 오래 되었는지 머리가 다 엉키는 기분이였고 두피에 발진 일어나서 아직도 고생중입니다 ,4,1년 전
