name,category,ratring_score,rating_count,feature,addr
전주한옥마을호텔,호텔,4.8,29,전주시 완산구 동서학동,전북특별자치도 전주시 완산구 전주천서로 45
전주 덕진동 호텔 스마일(HOTEL SMILE),모텔,4.7,"2,898",덕진예술회관건물뒷편위치,전북특별자치도 전주시 덕진구 송천중앙로 12-12
전주 호텔 더 빈센트,호텔,4.9,184,전주한옥마을 도보 3분,전라북도 전주시 완산구 전라감영로 76
전주 한옥마을비하녹,펜션,5.0,23,전주시 완산구 중앙동,전북특별자치도 전주시 완산구 풍남문4길 26-34
전주 우아동 에이치호텔,모텔,4.6,87,"❤넷플,티빙,왓챠,디즈니,애플 시청가능❤",전북특별자치도 전주시 덕진구 아중4길 23-6 (힐튼모텔)
전주 재즈어라운드 호텔,호텔,4.7,490,"한옥마을 차량 5분,전주역5분,전북대8분",전라북도 전주시 덕진구 정언신로 182
전주 중화산동 호텔 루고(RUGO),모텔,4.9,208,"한옥마을 차량10분, 막걸리거리 차량8분",전북 전주시 완산구 한두평4길 5-5
전주 중화산동 호텔 루고(RUGO),모텔,4.9,208,"한옥마을 차량10분, 막걸리거리 차량8분",전북특별자치도 전주시 완산구 한두평4길 5-5
전주 그랜드힐스턴호텔,3성급 호텔,4.7,439,전주시 완산구,전라북도 전주시 완산구 서곡5길 22-5
전주 금암동 후,모텔,4.7,"2,771",버스터미널1분 전주역10분 한옥마을10분,전북특별자치도 전주시 덕진구 용산1길 12-2
전주 산정동 첫번째 호텔,모텔,4.8,"2,186",한옥마을/전주역/버스터미널 근접,전북특별자치도 전주시 덕진구 산정1길 30
전주 경원동 호텔 다빈(HOTEL DAVIN),모텔,4.8,152,한옥마을 도보 5분,전북특별자치도 전주시 완산구 팔달로 160
전주 우아동 박스호텔,모텔,4.6,180,⭐한옥마을 10분⭐박스호텔(위치),전북특별자치도 전주시 덕진구 아중4길 20-5
전주 서신동 호텔 아지트,모텔,4.8,"1,108",신축 오픈! 한옥마을/전주역/터미널10분,전북특별자치도 전주시 완산구 여울로 25 (호텔아지트 서신롯데점)
전주 비지트호텔(VIZIT),호텔,4.7,589,"전주시 한옥마을 차량 7분, 전주역 5분",전북 전주시 덕진구 아중중앙로 20
전주 우아동 소울,모텔,4.5,814,"한옥마을(10분), 전주역(2분)",전북특별자치도 전주시 덕진구 아중4길 14-9 (소울모텔)
전주 엔브릿지호텔,3성급 호텔,4.5,428,한옥마을 도보1분거리 위치,전라북도 전주시 완산구 전주천서로 81
전주 중화산동 스페셜,모텔,4.6,977,중화산동 2가 위치,전북특별자치도 전주시 완산구 한두평2길 8-7 (스페셜)
전주 신시가지 쿡,모텔,4.7,614,효자동(신시가지) 내에 위치(클릭),전북특별자치도 전주시 완산구 홍산북로 84-10
전주 산정동 아리아,모텔,4.8,375,전주역 5분 이내,전북특별자치도 전주시 덕진구 산정1길 12-4 (아리아모텔)
전주 루엘호텔 덕진공원본점,2성급 호텔,4.8,116,덕진공원 앞 도보 1분,전라북도 전주시 덕진구 기린대로 540
전주 나비잠한옥호텔,전통호텔,4.8,95,전주 경기전 도보 2분,전라북도 전주시 완산구 팔달로 150-17
전주 우아동 호텔 위너(HOTEL WINNER),모텔,5.0,902,한옥마을10분 전주역2분 터미널7분,전북특별자치도 전주시 덕진구 아중4길 20
전주 산정동 플렉스호텔,모텔,4.4,"1,693",전주한옥마을차량10분 / 전주역차량 7분,전북특별자치도 전주시 덕진구 산정2길 11
전주혁신도시 호텔원,호텔,4.6,674,완주군 혁신동,전라북도 완주군 이서면 오공로 21-13
전주 금암동 황토,모텔,4.8,356,전주버스터미널 도보 3분,전북특별자치도 전주시 덕진구 용산1길 5-4 (황토모텔)
전주 브라이튼 호텔,호텔,4.7,122,막걸리거리8분 한옥마을10분,전라북도 전주시 완산구 한두평2길 8-3
전주 송천동 호텔 에코스테이,모텔,4.8,"1,681",에코시티 최초의 호텔 ◀(위치보기),전북특별자치도 전주시 덕진구 세병서로 8-27
전주 금암동 블루원,모텔,4.5,"1,601","버스터미널(1분), 전주역(10분)",전북 전주시 덕진구 용산2길 18 (금암동)
전주 신시가지 타임,모텔,5.0,324,전주시 완산구 효자5동,전북특별자치도 전주시 완산구 홍산북로 46-5
전주 금암동 토마토,모텔,4.4,"1,490",전주버스터미널 차량 3분(위치보기),전북특별자치도 전주시 덕진구 용산3길 18 (토마토모텔)
전주 마리호텔 터미널점,호텔,4.5,450,전주한옥마을 차량 10분,전라북도 전주시 덕진구 용산3길 21
전주 금암동 호텔 바라한(HOTEL BARAHAN),모텔,4.6,"3,931","버스터미널(1분), 한옥마을(10분)",전북특별자치도 전주시 덕진구 용산2길 17-5
전주 우아동 호텔 노이(HOTEL NEUE),모텔,4.8,662,한옥마을11분 전주역8분 버스터미널17분,전북특별자치도 전주시 덕진구 아중4길 21
전주 중화산동 엘도라도,모텔,4.6,"2,025","막걸리타운차량10분,한옥마을차량10분",전북특별자치도 전주시 완산구 한두평4길 11-3
