name,category,rating_score,rating_count,address,lat,lng
전주 한옥 사계,게하 · 한옥,9.5,19명,전라북도 전주시 완산구 서서학동 256-3  전북 전주시 완산구 서서학동256-3,35.8066921,127.1512252
전주 한옥마을 숙박 체험관,게하 · 한옥,9.5,12명,전라북도 전주시 완산구 풍남동3가 72-4,35.8149938,127.1523558
전주 한옥마을 한옥마당 행랑채,게하 · 한옥,9.4,28명,전북 전주시 완산구 교동 209-1,35.8113183,127.1520577
도심속 골목가에 위치한 고즈넉한 분위기 속 편안함 | 대동고택,홈&빌라,9.2,13명,전북 전주시 완산구 태평동 102-32,35.8215182,127.1363459
전주 니어리스트 게스트하우스,게하 · 한옥,9.3,30명,전라북도 전주시 완산구 경원동3가 39-5,35.8204225,127.1468359
전주 한옥마을 취락당,게하 · 한옥,9.3,37명,전라북도 전주시 완산구 풍남동2가 32-11,35.8185928,127.1527228
한옥호텔 궁,호텔비즈니스,8.9,229,전북 전주시 완산구 중앙동4가 85-2,35.8143555,127.1445708
전주 한옥마을 한옥마당 본채,게하 · 한옥,9.3,8명,전북 전주시 완산구 교동 209-1,35.8113183,127.1520577
전주 더씨티 호텔,호텔관광,9.4,466,전북 전주시 완산구 경원동1가 65,35.818662,127.1463051
전주 이카로스,모텔,9.1,230,전북특별자치도 전주시 덕진구 금암동 700-1,35.8353558,127.1318703
전주 한옥마을 다정 게스트하우스,게하 · 한옥,9.3,31명,전라북도 전주시 완산구 경원동1가 126-2,35.8176107,127.1487075
스마일호텔(SMILE HOTEL),호텔비즈니스,9.2,22명,전북 전주시 덕진구 덕진동2가 189-14,35.8475694,127.1192209
전주한옥마을 온유,게하 · 한옥,9.2,11명,전북특별자치도 전주시 완산구 풍남동3가 16-29,35.8155132,127.1541334
전주한옥마을 김명옥 별장펜션,펜션,9.1,6명,전북특별자치도 전주시 완산구 대성동 470-6,35.7954446,127.1703516
호텔 오페라21,호텔1성급,8.8,220,전북 전주시 덕진구 우아동2가 921-3,35.8317364,127.1735883
대형 샹들리에가 설치된 2층 독채 | 전주 줄리앤소피하우스,홈&빌라,9.2,5명,전북 전주시 완산구 중화산동2가 584-7,35.819755,127.1203552
전주 한옥마을 가은채2,게하 · 한옥,9.2,7명,전라북도 전주시 완산구 풍남동3가 54-9,35.8155292,127.1534999
전주 타임,모텔,8.6,204,전북특별자치도 전주시 덕진구 금암동 764-8,35.835438,127.1305734
전주한옥마을에 위치한 감성 숙소 | 전주 안녕 제제 제제,홈&빌라,9.3,4명,전북 전주시 완산구 경원동2가 40-5,35.8176774,127.1494163
전주 한옥마을 돌담집 안채,게하 · 한옥,9,12명,전북 전주시 완산구 풍남동3가 76-8,35.8161664,127.1514683
전주 한옥마을 유정 게스트하우스,게하 · 한옥,8.9,24명,전북특별자치도 전주시 완산구 경원동2가 40-25  전주 유정 게스트하우스 햇님,35.8173326,127.1496136
전주 영화호텔,호텔2성급,9.1,104,전북 전주시 완산구 고사동 462-4,35.8184264,127.1414153
전주한옥마을 나성하우스,게하 · 한옥,9.1,6명,전라북도 전주시 덕진구 금암동 1550-16,35.8408078,127.1348848
전주 나비,모텔,8.5,84명,전북 전주시 덕진구 산정동 857-10,35.8389435,127.1694234
전주 Y 누리봄 게스트하우스,게하 · 한옥,8.8,23명,전북 전주시 완산구 동서학동 102-1,35.8097188,127.1546694
전주 한옥마을 돌담집 별관,게하 · 한옥,9,11명,전북 전주시 완산구 풍남동3가 76-8,35.8161664,127.1514683
전주 그여자네집 독채펜션,펜션,9,4명,전북특별자치도 전주시 완산구 교동 39-4,35.8120761,127.1551061
