원본파일,추출된이름,매칭된이름,유사도,결과
전주 중화산동 프린스.jpg,전주 중화산동 프린스,전주 중화산동 프린스,1.0,✔ 복사됨
전주 중화산동 호텔 더 케이.jpg,전주 중화산동 호텔 더 케이,전주 중화산동 투썸호텔,0.7407,🚫 복사 안함 (유사도 낮음)
전주 중화산동 호텔 루고(RUGO).jpg,전주 중화산동 호텔 루고(RUGO),전주 중화산동 호텔 루고(RUGO),1.0,✔ 복사됨
전주 중화산동 호텔 시그니처 (Signature).jpg,전주 중화산동 호텔 시그니처 (Signature),전주 호텔 시그니처Signature,0.8261,🚫 복사 안함 (유사도 낮음)
전주 중화산동 호텔 시그니처.jpg,전주 중화산동 호텔 시그니처,전주 중화산동 투썸호텔,0.7407,🚫 복사 안함 (유사도 낮음)
전주 중화산동 호텔 인트로(HOTEL INTRO).jpg,전주 중화산동 호텔 인트로(HOTEL INTRO),전주 중화산동 호텔 인트로(HOTEL INTRO),1.0,✔ 복사됨
전주 중화산동 호텔사운즈.jpg,전주 중화산동 호텔사운즈,전주 중화산동 투썸호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 중화산동 화려한외출Ⅱ.jpg,전주 중화산동 화려한외출Ⅱ,전주 중화산동 화려한외출Ⅱ,1.0,✔ 복사됨
전주 진북동 경동.jpg,전주 진북동 경동,전주 진북동 경동,1.0,✔ 복사됨
전주 진북동 도당하우스.jpg,전주 진북동 도당하우스,전주 진북동 도당하우스,1.0,✔ 복사됨
전주 진북동 장미.jpg,전주 진북동 장미,전주 진북동 장미,1.0,✔ 복사됨
전주 진북동 하얀.jpg,전주 진북동 하얀,전주 진북동 하얀,1.0,✔ 복사됨
전주 참다원 한옥스테이.jpg,전주 참다원 한옥스테이,전주 몽유화원 한옥스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 참다원펜션.jpg,전주 참다원펜션,전주 루와펜션,0.6667,🚫 복사 안함 (유사도 낮음)
전주 천년의아침 한옥스테이.jpg,전주 천년의아침 한옥스테이,전주 천년의아침,0.7273,🚫 복사 안함 (유사도 낮음)
전주 천년의아침한옥펜션.jpg,전주 천년의아침한옥펜션,전주 천년의아침,0.8,🚫 복사 안함 (유사도 낮음)
전주 천동로선우가.jpg,전주 천동로선우가,전주 천동로선우가,1.0,✔ 복사됨
전주 청나루한옥펜션.jpg,전주 청나루한옥펜션,전주 청나루한옥펜션,1.0,✔ 복사됨
전주 청사초롱 태조로점.jpg,전주 청사초롱 태조로점,전주 청사초롱 태조로점,1.0,✔ 복사됨
전주 취락당 펜션.jpg,전주 취락당 펜션,전주 해밀 펜션,0.7059,🚫 복사 안함 (유사도 낮음)
전주 취락당 한옥스테이.jpg,전주 취락당 한옥스테이,전주 퐁당 한옥스테이,0.8696,🚫 복사 안함 (유사도 낮음)
전주 카마호텔.jpg,전주 카마호텔,전주 카마호텔,1.0,✔ 복사됨
전주 태조마루 한옥스테이.jpg,전주 태조마루 한옥스테이,전주 사랑루 한옥스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 태조마루펜션.jpg,전주 태조마루펜션,전주 루와펜션,0.75,🚫 복사 안함 (유사도 낮음)
전주 태평동 케이비호텔.jpg,전주 태평동 케이비호텔,전주 태평동 케이비호텔,1.0,✔ 복사됨
전주 톡 게스트하우스.jpg,전주 톡 게스트하우스,전주 톡 게스트하우스,1.0,⚠ 건너뜀 (중복 파일 존재)
전주 투헤븐호텔.jpg,전주 투헤븐호텔,전주 호텔유,0.7143,🚫 복사 안함 (유사도 낮음)
전주 퐁당 한옥스테이.jpg,전주 퐁당 한옥스테이,전주 퐁당 한옥스테이,1.0,✔ 복사됨
전주 푸른솔펜션.jpg,전주 푸른솔펜션,전주 푸른솔펜션,1.0,✔ 복사됨
전주 푸른요람 한옥스테이.jpg,전주 푸른요람 한옥스테이,전주 퐁당 한옥스테이,0.75,🚫 복사 안함 (유사도 낮음)
전주 푸실한옥스테이펜션.jpg,전주 푸실한옥스테이펜션,전주 푸실 한옥펜션,0.8182,🚫 복사 안함 (유사도 낮음)
전주 풍남가족호텔(구.풍남관광호텔).jpg,전주 풍남가족호텔(구.풍남관광호텔),전주 풍남가족호텔(구.풍남관광호텔),1.0,✔ 복사됨
전주 풍류헌 한옥스테이.jpg,전주 풍류헌 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 풍류헌독채펜션.jpg,전주 풍류헌독채펜션,전주 행복헌한옥독채펜션,0.7273,🚫 복사 안함 (유사도 낮음)
전주 하늘풍경펜션.jpg,전주 하늘풍경펜션,전주 단경펜션,0.75,🚫 복사 안함 (유사도 낮음)
전주 하루 감성한옥.jpg,전주 하루 감성한옥,전주 정가 한옥,0.6667,🚫 복사 안함 (유사도 낮음)
전주 하예랑 게스트하우스.jpg,전주 하예랑 게스트하우스,전주 하예랑 게스트하우스,1.0,✔ 복사됨
전주 하운드호텔 덕진점.jpg,전주 하운드호텔 덕진점,전주 하운드호텔덕진점,0.9565,✔ 복사됨
전주 한빛호텔.jpg,전주 한빛호텔,전주 한빛호텔,1.0,✔ 복사됨
전주 한옥 스테이 사라.jpg,전주 한옥 스테이 사라,전주 한옥 스테이 사라,1.0,✔ 복사됨
전주 한옥 이택구 사랑채 펜션.jpg,전주 한옥 이택구 사랑채 펜션,전주 한옥 이택구 사랑채 펜션,1.0,✔ 복사됨
전주 한옥고택고을.jpg,전주 한옥고택고을,전주 한옥마을 한옥고택 고을,0.75,🚫 복사 안함 (유사도 낮음)
전주 한옥고희.jpg,전주 한옥고희,전주 한옥마을 고희,0.8235,🚫 복사 안함 (유사도 낮음)
전주 한옥고희펜션.jpg,전주 한옥고희펜션,전주 해솔한옥펜션,0.7778,🚫 복사 안함 (유사도 낮음)
전주 한옥다락 스테이 1호점.jpg,전주 한옥다락 스테이 1호점,전주 한옥 스테이 사라,0.7407,🚫 복사 안함 (유사도 낮음)
전주 한옥독채 하현.jpg,전주 한옥독채 하현,전주 한옥 독채 꽃마르트,0.6957,🚫 복사 안함 (유사도 낮음)
전주 한옥마당 스테이.jpg,전주 한옥마당 스테이,전주한옥마을 아침스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 한옥마당 펜션.jpg,전주 한옥마당 펜션,전주 한옥마당예쁜집펜션,0.8182,🚫 복사 안함 (유사도 낮음)
전주 한옥마당예쁜집펜션.jpg,전주 한옥마당예쁜집펜션,전주 한옥마당예쁜집펜션,1.0,✔ 복사됨
전주 한옥마루펜션.jpg,전주 한옥마루펜션,전주 한옥마을장수펜션,0.8,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 STAY윤슬 독채펜션.jpg,전주 한옥마을 STAY윤슬 독채펜션,전주 한옥마을 서쪽 독채,0.6875,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 건축문화상 수상한 이가한옥 펜션.jpg,전주 한옥마을 건축문화상 수상한 이가한옥 펜션,전주 한옥마을박가네한옥펜션,0.6154,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 경복궁.jpg,전주 한옥마을 경복궁,전주 한옥마을 경복궁,1.0,✔ 복사됨
전주 한옥마을 공간의미 독채펜션.jpg,전주 한옥마을 공간의미 독채펜션,전주한옥마을 공간의미 독채펜션,0.9697,✔ 복사됨
전주 한옥마을 그여자네집한옥독채펜션.jpg,전주 한옥마을 그여자네집한옥독채펜션,전주 그여자네집 독채펜션,0.75,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 근수네초가집펜션.jpg,전주 한옥마을 근수네초가집펜션,전주 한옥마을 근수네초가집펜션,1.0,✔ 복사됨
전주 한옥마을 김명옥 별장펜션.jpg,전주 한옥마을 김명옥 별장펜션,전주한옥마을 김명옥 별장펜션,0.9677,✔ 복사됨
전주 한옥마을 꼴 게스트하우스.jpg,전주 한옥마을 꼴 게스트하우스,전주 한옥마을 꼴 게스트하우스,1.0,✔ 복사됨
전주 한옥마을 나무그늘펜션.jpg,전주 한옥마을 나무그늘펜션,전주 한옥마을 나무그늘펜션,1.0,✔ 복사됨
전주 한옥마을 네스트175 자쿠지 독채펜션.jpg,전주 한옥마을 네스트175 자쿠지 독채펜션,전주 해피니스온 자쿠지 독채 펜션,0.6341,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 늘품호텔.jpg,전주 한옥마을 늘품호텔,전주 한옥마을 늘품호텔,1.0,✔ 복사됨
전주 한옥마을 달달잠독채펜션.jpg,전주 한옥마을 달달잠독채펜션,전주한옥마을 달달잠 독채 펜션,0.9032,✔ 복사됨
전주 한옥마을 더정가스테이.jpg,전주 한옥마을 더정가스테이,전주한옥마을 아침스테이,0.7692,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 덕수궁 한옥스테이.jpg,전주 한옥마을 덕수궁 한옥스테이,전주 한옥마을숙박 꿈 한옥스테이,0.8235,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 독채 강령전.jpg,전주 한옥마을 독채 강령전,전주 한옥마을 강령전,0.88,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 사진작가의집 오목헌.jpg,전주 한옥마을 사진작가의집 오목헌,전주 한옥마을 오목헌,0.7586,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 산민재펜션.jpg,전주 한옥마을 산민재펜션,전주 한옥마을 산민재펜션,1.0,✔ 복사됨
전주 한옥마을 산아래 펜션.jpg,전주 한옥마을 산아래 펜션,전주 한옥마을 산아래,0.88,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 스테이선선.jpg,전주 한옥마을 스테이선선,전주한옥마을 아침스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 어린왕자 게스트하우스.jpg,전주 한옥마을 어린왕자 게스트하우스,전주 한옥마을 어린왕자 게스트하우스,1.0,✔ 복사됨
전주 한옥마을 예당한옥펜션.jpg,전주 한옥마을 예당한옥펜션,전주 한옥마을 예당한옥펜션,1.0,✔ 복사됨
전주 한옥마을 예술가의집 시간무늬펜션.jpg,전주 한옥마을 예술가의집 시간무늬펜션,전주한옥마을 예술가의집 시간무늬,0.9189,✔ 복사됨
전주 한옥마을 이화원고택펜션.jpg,전주 한옥마을 이화원고택펜션,전주 한옥마을 이화원고택펜션,1.0,✔ 복사됨
전주 한옥마을 인디고.jpg,전주 한옥마을 인디고,전주 한옥마을 인디고,1.0,✔ 복사됨
전주 한옥마을 일락당사랑채펜션.jpg,전주 한옥마을 일락당사랑채펜션,전주 한옥마을 일락당사랑채펜션,1.0,✔ 복사됨
전주 한옥마을 풍경게스트앤호텔.jpg,전주 한옥마을 풍경게스트앤호텔,전주 한옥마을 풍경게스트앤호텔,1.0,✔ 복사됨
전주 한옥마을 풍남주택펜션.jpg,전주 한옥마을 풍남주택펜션,전주한옥마을 풍남주택,0.88,🚫 복사 안함 (유사도 낮음)
전주 한옥마을 한옥독채풀빌라스테이소월.jpg,전주 한옥마을 한옥독채풀빌라스테이소월,전주 한옥마을 한옥독채풀빌라스테이소월,1.0,✔ 복사됨
전주 한옥마을 한옥미쁨.jpg,전주 한옥마을 한옥미쁨,전주 한옥마을 한옥미쁨,1.0,✔ 복사됨
전주 한옥마을 한옥숙박예쁘다펜션.jpg,전주 한옥마을 한옥숙박예쁘다펜션,전주 한옥마을 한옥숙박예쁘다펜션,1.0,✔ 복사됨
전주 한옥마을 호스텔 Ark.jpg,전주 한옥마을 호스텔 Ark,전주 한옥마을 호스텔 Ark,1.0,✔ 복사됨
전주 한옥마을객리단길독채펜션.jpg,전주 한옥마을객리단길독채펜션,전주 한옥마을객리단길독채펜션,1.0,✔ 복사됨
전주 한옥마을고현당한옥펜션.jpg,전주 한옥마을고현당한옥펜션,전주 한옥마을금원당한옥펜션,0.8571,🚫 복사 안함 (유사도 낮음)
전주 한옥마을그리고봄펜션.jpg,전주 한옥마을그리고봄펜션,전주 한옥마을한옥그곳펜션,0.7692,🚫 복사 안함 (유사도 낮음)
전주 한옥마을금원당한옥펜션.jpg,전주 한옥마을금원당한옥펜션,전주 한옥마을금원당한옥펜션,1.0,✔ 복사됨
전주 한옥마을김명옥숙박문화관펜션.jpg,전주 한옥마을김명옥숙박문화관펜션,전주 한옥마을김명옥숙박문화관펜션,1.0,✔ 복사됨
전주 한옥마을너울가지.jpg,전주 한옥마을너울가지,전주 한옥마을 너울가지,0.9565,✔ 복사됨
전주 한옥마을담소황토펜션.jpg,전주 한옥마을담소황토펜션,전주 한옥마을담소황토펜션,1.0,✔ 복사됨
전주 한옥마을덕수궁펜션.jpg,전주 한옥마을덕수궁펜션,전주 한옥마을장수펜션,0.8696,🚫 복사 안함 (유사도 낮음)
전주 한옥마을도화서가스테이독채펜션.jpg,전주 한옥마을도화서가스테이독채펜션,전주 한옥마을도화서가스테이독채펜션,1.0,✔ 복사됨
전주 한옥마을돼지꿈한옥펜션.jpg,전주 한옥마을돼지꿈한옥펜션,전주 한옥마을돼지꿈한옥펜션,1.0,✔ 복사됨
전주 한옥마을박가네한옥펜션.jpg,전주 한옥마을박가네한옥펜션,전주 한옥마을박가네한옥펜션,1.0,✔ 복사됨
전주 한옥마을부용헌펜션.jpg,전주 한옥마을부용헌펜션,전주 한옥마을부용헌펜션,1.0,✔ 복사됨
전주 한옥마을비하녹.jpg,전주 한옥마을비하녹,전주 한옥마을 비하녹,0.9524,✔ 복사됨
전주 한옥마을사랑가득펜션.jpg,전주 한옥마을사랑가득펜션,전주 한옥마을 사랑가득,0.88,🚫 복사 안함 (유사도 낮음)
전주 한옥마을서쪽독채펜션.jpg,전주 한옥마을서쪽독채펜션,전주 한옥마을 서쪽 독채,0.8462,🚫 복사 안함 (유사도 낮음)
전주 한옥마을숙박 가인당 안채.jpg,전주 한옥마을숙박 가인당 안채,전주 한옥마을 가인당 안채,0.9333,✔ 복사됨
전주 한옥마을숙박 가인당.jpg,전주 한옥마을숙박 가인당,전주 한옥마을숙박 가인당,1.0,✔ 복사됨
전주 한옥마을숙박 꿈 한옥스테이.jpg,전주 한옥마을숙박 꿈 한옥스테이,전주 한옥마을숙박 꿈 한옥스테이,1.0,✔ 복사됨
전주 한옥마을숙박 꿈펜션.jpg,전주 한옥마을숙박 꿈펜션,전주 한옥마을숙박모란펜션,0.8462,🚫 복사 안함 (유사도 낮음)
전주 한옥마을숙박 알콩달콩다락방펜션.jpg,전주 한옥마을숙박 알콩달콩다락방펜션,전주 한옥마을 알콩달콩 다락방,0.8571,🚫 복사 안함 (유사도 낮음)
전주 한옥마을숙박 향촌펜션.jpg,전주 한옥마을숙박 향촌펜션,전주 한옥마을숙박모란펜션,0.8148,🚫 복사 안함 (유사도 낮음)
전주 한옥마을숙박모란펜션.jpg,전주 한옥마을숙박모란펜션,전주 한옥마을숙박모란펜션,1.0,✔ 복사됨
전주 한옥마을스테이하루애견동반가능펜션.jpg,전주 한옥마을스테이하루애견동반가능펜션,전주 한옥마을하늘애한옥펜션,0.6471,🚫 복사 안함 (유사도 낮음)
전주 한옥마을이화고택펜션.jpg,전주 한옥마을이화고택펜션,전주 한옥마을이화고택펜션,1.0,✔ 복사됨
전주 한옥마을장수펜션.jpg,전주 한옥마을장수펜션,전주 한옥마을장수펜션,1.0,✔ 복사됨
전주 한옥마을지우당한옥독채펜션.jpg,전주 한옥마을지우당한옥독채펜션,전주 한옥마을지우당한옥독채펜션,1.0,✔ 복사됨
전주 한옥마을타샤의정원독채펜션.jpg,전주 한옥마을타샤의정원독채펜션,전주 한옥마을타샤의정원독채펜션,1.0,✔ 복사됨
전주 한옥마을풍남헌고택펜션.jpg,전주 한옥마을풍남헌고택펜션,전주 한옥마을풍남헌고택펜션,1.0,✔ 복사됨
전주 한옥마을하늘기와.jpg,전주 한옥마을하늘기와,전주한옥마을 하늘기와,0.9091,✔ 복사됨
전주 한옥마을하늘애한옥펜션.jpg,전주 한옥마을하늘애한옥펜션,전주 한옥마을하늘애한옥펜션,1.0,✔ 복사됨
전주 한옥마을한옥그곳펜션.jpg,전주 한옥마을한옥그곳펜션,전주 한옥마을한옥그곳펜션,1.0,✔ 복사됨
전주 한옥마을한옥미담게스트하우스.jpg,전주 한옥마을한옥미담게스트하우스,전주 한옥마을 분 게스트하우스,0.7879,🚫 복사 안함 (유사도 낮음)
전주 한옥마을홍시한옥펜션.jpg,전주 한옥마을홍시한옥펜션,전주 한옥마을홍시한옥펜션,1.0,✔ 복사됨
전주 한옥만화정한식밥상펜션.jpg,전주 한옥만화정한식밥상펜션,전주 한옥만화정한식밥상펜션,1.0,✔ 복사됨
전주 한옥미담 스테이.jpg,전주 한옥미담 스테이,전주 한옥 스테이 사라,0.7826,🚫 복사 안함 (유사도 낮음)
전주 한옥미쁨펜션.jpg,전주 한옥미쁨펜션,전주 해솔한옥펜션,0.7778,🚫 복사 안함 (유사도 낮음)
전주 한옥솔솔 스테이.jpg,전주 한옥솔솔 스테이,전주 한옥 스테이 사라,0.7826,🚫 복사 안함 (유사도 낮음)
전주 한옥솔솔펜션.jpg,전주 한옥솔솔펜션,전주 해솔한옥펜션,0.7778,🚫 복사 안함 (유사도 낮음)
전주 한옥숙박체험관.jpg,전주 한옥숙박체험관,전주 한옥숙박체험관,1.0,✔ 복사됨
전주 한옥스테이담길.jpg,전주 한옥스테이담길,전주 한옥스테이담길,1.0,✔ 복사됨
전주 한옥안 하루한팀펜션.jpg,전주 한옥안 하루한팀펜션,전주 한옥안 하루한팀펜션,1.0,✔ 복사됨
전주 한옥이야기 스테이.jpg,전주 한옥이야기 스테이,전주 한옥 스테이 사라,0.75,🚫 복사 안함 (유사도 낮음)
전주 한옥이야기펜션.jpg,전주 한옥이야기펜션,전주 한옥이야기펜션,1.0,✔ 복사됨
전주 한옥초정전주한옥마을.jpg,전주 한옥초정전주한옥마을,전주 한옥초정전주한옥마을,1.0,✔ 복사됨
전주 한옥토박이펜션.jpg,전주 한옥토박이펜션,전주 한옥토박이펜션,1.0,✔ 복사됨
전주 한옥펜션 첼로네.jpg,전주 한옥펜션 첼로네,전주 한옥펜션 첼로네,1.0,✔ 복사됨
전주 한옥호텔 궁.jpg,전주 한옥호텔 궁,전주 한옥호텔 궁,1.0,✔ 복사됨
전주 한옥호텔 태조궁.jpg,전주 한옥호텔 태조궁,전주 한옥호텔 태조궁,1.0,✔ 복사됨
전주 해밀펜션.jpg,전주 해밀펜션,전주 해밀 펜션,0.9333,✔ 복사됨
전주 해솔한옥펜션.jpg,전주 해솔한옥펜션,전주 해솔한옥펜션,1.0,✔ 복사됨
전주 해피니스온자쿠지독채펜션(애견동반가능).jpg,전주 해피니스온자쿠지독채펜션(애견동반가능),전주 해피니스온 자쿠지 독채 펜션,0.7317,🚫 복사 안함 (유사도 낮음)
전주 행복가득 한옥스테이.jpg,전주 행복가득 한옥스테이,전주 명문가 한옥스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 행복가득한옥펜션.jpg,전주 행복가득한옥펜션,전주 행복헌한옥독채펜션,0.7826,🚫 복사 안함 (유사도 낮음)
전주 행복헌한옥독채펜션.jpg,전주 행복헌한옥독채펜션,전주 행복헌한옥독채펜션,1.0,✔ 복사됨
전주 향교길선우가펜션.jpg,전주 향교길선우가펜션,향교길선우가,0.7059,🚫 복사 안함 (유사도 낮음)
전주 혜윰 한옥스테이.jpg,전주 혜윰 한옥스테이,전주 퐁당 한옥스테이,0.8182,🚫 복사 안함 (유사도 낮음)
전주 호텔 늘.jpg,전주 호텔 늘,전주 호텔 늘,1.0,✔ 복사됨
전주 호텔 더 빈센트.jpg,전주 호텔 더 빈센트,전주 호텔 더 빈센트,1.0,✔ 복사됨
전주 호텔 라임.jpg,전주 호텔 라임,전주 호텔 라임,1.0,✔ 복사됨
전주 호텔 아라리.jpg,전주 호텔 아라리,전주 호텔 아라리,1.0,✔ 복사됨
전주 호텔 투썸스테이 중화산점.jpg,전주 호텔 투썸스테이 중화산점,전주 호텔 투썸스테이 중화산점,1.0,✔ 복사됨
전주 호텔토랑.jpg,전주 호텔토랑,전주 호텔토랑,1.0,✔ 복사됨
전주 효자동 캐슬.jpg,전주 효자동 캐슬,전주 효자동 캐슬,1.0,✔ 복사됨
전주 휴게스트하우스.jpg,전주 휴게스트하우스,전주 휴게스트하우스,1.0,✔ 복사됨
전주 흥부가 한옥스테이.jpg,전주 흥부가 한옥스테이,전주 부경당 한옥스테이,0.8333,🚫 복사 안함 (유사도 낮음)
전주관광호텔.jpg,전주관광호텔,전주 관광호텔 꽃심,0.75,🚫 복사 안함 (유사도 낮음)
전주한옥마을 게스트하우스.jpg,전주한옥마을 게스트하우스,전주 한옥마을 분 게스트하우스,0.8966,🚫 복사 안함 (유사도 낮음)
전주한옥마을 독채 재우성.jpg,전주한옥마을 독채 재우성,전주한옥마을 독채 재우성,1.0,✔ 복사됨
전주한옥마을 독채덕수궁.jpg,전주한옥마을 독채덕수궁,전주한옥마을 독채 덕수궁,0.96,✔ 복사됨
전주한옥마을 황실관광호텔.jpg,전주한옥마을 황실관광호텔,전주한옥마을 황실관광호텔,1.0,✔ 복사됨
전주한옥마을호텔.jpg,전주한옥마을호텔,전주한옥마을호텔,1.0,✔ 복사됨
전주혁신도시 호텔원.jpg,전주혁신도시 호텔원,전주 호텔유,0.625,🚫 복사 안함 (유사도 낮음)
카누 호텔.jpg,카누 호텔,전주 호텔유,0.5455,🚫 복사 안함 (유사도 낮음)
칼튼힐 전주.jpg,칼튼힐 전주,전주 전주하숙,0.4615,🚫 복사 안함 (유사도 낮음)
하운드호텔 전주아중지구.jpg,하운드호텔 전주아중지구,하운드호텔 전주아중지구,1.0,✔ 복사됨
호텔 다빈.jpg,호텔 다빈,전주 호텔다빈,0.6667,🚫 복사 안함 (유사도 낮음)
호텔 에코스테이.jpg,호텔 에코스테이,전주 호텔 써밋스테이,0.6316,🚫 복사 안함 (유사도 낮음)
호텔 투썸스테이 전주 서신점.jpg,호텔 투썸스테이 전주 서신점,호텔 투썸스테이 전주 서신점,1.0,✔ 복사됨
호텔야자 전주터미널점.jpg,호텔야자 전주터미널점,전주 마리 터미널점,0.5714,🚫 복사 안함 (유사도 낮음)
호텔어라이브 전주 시화연풍.jpg,호텔어라이브 전주 시화연풍,호텔어라이브 전주 시화연풍,1.0,✔ 복사됨
화이트 관광호텔.jpg,화이트 관광호텔,전주 관광호텔 꽃심,0.5556,🚫 복사 안함 (유사도 낮음)
