원본파일,추출된이름,매칭된이름,유사도,결과
전주 금암동 스카이쇼1 무인텔.jpg,전주 금암동 스카이쇼1 무인텔,전주 금암동 스카이쇼1 무인텔,1.0,✔ 복사됨
전주 금암동 스토리 무인텔.jpg,전주 금암동 스토리 무인텔,전주 금암동 스카이쇼1 무인텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 금암동 신성파크텔.jpg,전주 금암동 신성파크텔,전주 금암동 신성파크텔,1.0,✔ 복사됨
전주 금암동 아늑 료칸호텔 (터미널점).jpg,전주 금암동 아늑 료칸호텔 (터미널점),전주 금암동 아늑 료칸호텔 (터미널점),1.0,✔ 복사됨
전주 금암동 아리랑 호텔.jpg,전주 금암동 아리랑 호텔,전주 금암동 아리랑 호텔,1.0,✔ 복사됨
전주 금암동 어썸호텔.jpg,전주 금암동 어썸호텔,전주 금암동 호텔 K,0.8182,🚫 복사 안함 (유사도 낮음)
전주 금암동 윈져.jpg,전주 금암동 윈져,전주 금암동 황토,0.7778,🚫 복사 안함 (유사도 낮음)
전주 금암동 이카로스 드라이브인 무인텔.jpg,전주 금암동 이카로스 드라이브인 무인텔,전주 금암동 쇼 드라이브인,0.7429,🚫 복사 안함 (유사도 낮음)
전주 금암동 칼튼힐호텔.jpg,전주 금암동 칼튼힐호텔,전주 금암동 호텔 K,0.7826,🚫 복사 안함 (유사도 낮음)
전주 금암동 타임.jpg,전주 금암동 타임,전주 금암동 황토,0.7778,🚫 복사 안함 (유사도 낮음)
전주 금암동 토마토.jpg,전주 금암동 토마토,전주 금암동 토마토,1.0,✔ 복사됨
전주 금암동 투헤븐.jpg,전주 금암동 투헤븐,전주 금암동 투헤븐,1.0,✔ 복사됨
전주 금암동 하운드 전주터미널.jpg,전주 금암동 하운드 전주터미널,전주 금암동 하운드 전주터미널,1.0,✔ 복사됨
전주 금암동 호텔 K.jpg,전주 금암동 호텔 K,전주 금암동 호텔 K,1.0,✔ 복사됨
전주 금암동 호텔 마리(터미널점).jpg,전주 금암동 호텔 마리(터미널점),전주 금암동 아늑 료칸호텔 (터미널점),0.8205,🚫 복사 안함 (유사도 낮음)
전주 금암동 호텔 바라한(HOTEL BARAHAN).jpg,전주 금암동 호텔 바라한(HOTEL BARAHAN),전주 금암동 호텔 화이트(HOTEL WHITE),0.7037,🚫 복사 안함 (유사도 낮음)
전주 금암동 호텔 화이트(HOTEL WHITE).jpg,전주 금암동 호텔 화이트(HOTEL WHITE),전주 금암동 호텔 화이트(HOTEL WHITE),1.0,✔ 복사됨
전주 금암동 황토.jpg,전주 금암동 황토,전주 금암동 황토,1.0,✔ 복사됨
전주 금암동 후.jpg,전주 금암동 후,전주 금암동 황토,0.8235,🚫 복사 안함 (유사도 낮음)
전주 꽃마르트 한옥스테이.jpg,전주 꽃마르트 한옥스테이,전주 퐁당 한옥스테이,0.75,🚫 복사 안함 (유사도 낮음)
전주 꽃무릇펜션.jpg,전주 꽃무릇펜션,전주 꽃무릇펜션,1.0,✔ 복사됨
전주 꽃자리 한옥스테이.jpg,전주 꽃자리 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 꽃자리펜션.jpg,전주 꽃자리펜션,전주 꽃무릇펜션,0.75,🚫 복사 안함 (유사도 낮음)
전주 꽃잠펜션.jpg,전주 꽃잠펜션,전주 꽃무릇펜션,0.8,🚫 복사 안함 (유사도 낮음)
전주 꿈꾸는날개한옥독채펜션.jpg,전주 꿈꾸는날개한옥독채펜션,전주 꿈꾸는날개한옥독채펜션,1.0,✔ 복사됨
전주 나루한옥스테이.jpg,전주 나루한옥스테이,전주 나루한옥스테이,1.0,✔ 복사됨
전주 나비잠한옥호텔.jpg,전주 나비잠한옥호텔,전주 나비잠한옥호텔,1.0,✔ 복사됨
전주 나성하우스.jpg,전주 나성하우스,전주한옥마을 나성하우스,0.8,🚫 복사 안함 (유사도 낮음)
전주 니어리스트 게스트하우스.jpg,전주 니어리스트 게스트하우스,전주 니어리스트 게스트하우스,1.0,✔ 복사됨
전주 다가동 MH HOTEL 객리단점.jpg,전주 다가동 MH HOTEL 객리단점,전주 다가동 MH HOTEL 객리단점,1.0,✔ 복사됨
전주 다나하루 게스트하우스.jpg,전주 다나하루 게스트하우스,전주 다나하루 게스트하우스펜션,0.9333,✔ 복사됨
전주 다나하루 게스트하우스펜션.jpg,전주 다나하루 게스트하우스펜션,전주 다나하루 게스트하우스펜션,1.0,⚠ 건너뜀 (중복 파일 존재)
전주 다래헌 한옥스테이.jpg,전주 다래헌 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 다온호텔.jpg,전주 다온호텔,전주 다온호텔,1.0,✔ 복사됨
전주 다정 한옥스테이.jpg,전주 다정 한옥스테이,전주 퐁당 한옥스테이,0.8182,🚫 복사 안함 (유사도 낮음)
전주 다정한옥펜션.jpg,전주 다정한옥펜션,전주 정담전통한옥펜션,0.8,🚫 복사 안함 (유사도 낮음)
전주 단경펜션.jpg,전주 단경펜션,전주 단경펜션,1.0,✔ 복사됨
전주 달님 게스트하우스.jpg,전주 달님 게스트하우스,전주 달님 게스트하우스,1.0,✔ 복사됨
전주 달달잠 한옥스테이.jpg,전주 달달잠 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 달빛향펜션.jpg,전주 달빛향펜션,전주 루와펜션,0.6667,🚫 복사 안함 (유사도 낮음)
전주 담소 한옥스테이.jpg,전주 담소 한옥스테이,전주 퐁당 한옥스테이,0.8182,🚫 복사 안함 (유사도 낮음)
전주 대명여관 게스트하우스.jpg,전주 대명여관 게스트하우스,전주 여지 게스트하우스,0.8462,🚫 복사 안함 (유사도 낮음)
전주 대명여관펜션.jpg,전주 대명여관펜션,전주 대명여관펜션,1.0,✔ 복사됨
전주 대성정담한옥펜션.jpg,전주 대성정담한옥펜션,전주 대성정담한옥펜션,1.0,✔ 복사됨
전주 더 메이 호텔.jpg,전주 더 메이 호텔,전주 더 메이 호텔,1.0,✔ 복사됨
전주 더머뭄 한옥스테이.jpg,전주 더머뭄 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 더정가스테이.jpg,전주 더정가스테이,전주 감스테이,0.75,🚫 복사 안함 (유사도 낮음)
전주 더클래식 바이 호텔원.jpg,전주 더클래식 바이 호텔원,전주 더 메이 호텔,0.75,🚫 복사 안함 (유사도 낮음)
전주 덕진동 H Avenue 전주덕진점(신관).jpg,전주 덕진동 H Avenue 전주덕진점(신관),전주 금암동 YAJA 전주터미널점,0.4651,🚫 복사 안함 (유사도 낮음)
전주 덕진동 H Avenue 전주덕진점.jpg,전주 덕진동 H Avenue 전주덕진점,전주 금암동 YAJA 전주터미널점,0.5128,🚫 복사 안함 (유사도 낮음)
전주 덕진동 MOMENT 708.jpg,전주 덕진동 MOMENT 708,전주 MOMENT708,0.8276,🚫 복사 안함 (유사도 낮음)
전주 덕진동 브라운도트 전주덕진점.jpg,전주 덕진동 브라운도트 전주덕진점,전주 브라운도트 덕진점,0.8,🚫 복사 안함 (유사도 낮음)
전주 덕진동 연화.jpg,전주 덕진동 연화,전주 덕진동 연화,1.0,✔ 복사됨
전주 덕진동 타미.jpg,전주 덕진동 타미,전주 진북동 장미,0.7778,🚫 복사 안함 (유사도 낮음)
전주 덕진동 핀앤핏하우스.jpg,전주 덕진동 핀앤핏하우스,전주 핀앤핏하우스,0.8182,🚫 복사 안함 (유사도 낮음)
전주 덕진동 하운드호텔 전주덕진.jpg,전주 덕진동 하운드호텔 전주덕진,전주 하운드호텔덕진점,0.7143,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔 마리(덕진공원점).jpg,전주 덕진동 호텔 마리(덕진공원점),전주 마리 덕진공원점,0.6667,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔 스마일(HOTEL SMILE).jpg,전주 덕진동 호텔 스마일(HOTEL SMILE),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.7407,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔 쏘울(Hotel Soul).jpg,전주 덕진동 호텔 쏘울(Hotel Soul),전주 덕진동 호텔 쏘울(Hotel Soul),1.0,✔ 복사됨
전주 덕진동 호텔 와이케이(HOTEL WAIKEI).jpg,전주 덕진동 호텔 와이케이(HOTEL WAIKEI),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),1.0,✔ 복사됨
전주 덕진동 호텔 와이케이.jpg,전주 덕진동 호텔 와이케이,전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.6667,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔 워너비(HOTEL WANNABE).jpg,전주 덕진동 호텔 워너비(HOTEL WANNABE),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.75,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔 히든(HOTEL HIDDEN).jpg,전주 덕진동 호텔 히든(HOTEL HIDDEN),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.7407,🚫 복사 안함 (유사도 낮음)
전주 덕진동 호텔히든(HOTEL HIDDEN).jpg,전주 덕진동 호텔히든(HOTEL HIDDEN),전주 덕진동 호텔 와이케이(HOTEL WAIKEI),0.717,🚫 복사 안함 (유사도 낮음)
전주 도란도란카라반글램핑펜션.jpg,전주 도란도란카라반글램핑펜션,전주 도란도란카라반글램핑펜션,1.0,✔ 복사됨
전주 도원 게스트하우스.jpg,전주 도원 게스트하우스,전주 도원 게스트하우스,1.0,✔ 복사됨
전주 독채 전주 수.jpg,전주 독채 전주 수,전주한옥마을 독채 덕수궁,0.6087,🚫 복사 안함 (유사도 낮음)
전주 독채펜션달빛소리.jpg,전주 독채펜션달빛소리,전주 뜰안채펜션,0.6316,🚫 복사 안함 (유사도 낮음)
전주 독채펜션정원채.jpg,전주 독채펜션정원채,전주 뜰안채펜션,0.6667,🚫 복사 안함 (유사도 낮음)
전주 동락원 한옥스테이.jpg,전주 동락원 한옥스테이,전주 몽유화원 한옥스테이,0.8,🚫 복사 안함 (유사도 낮음)
전주 동락원.jpg,전주 동락원,전주 동락원,1.0,✔ 복사됨
전주 동백하우스.jpg,전주 동백하우스,전주 동백하우스,1.0,✔ 복사됨
전주 동산동 편백.jpg,전주 동산동 편백,전주 동산동 편백,1.0,✔ 복사됨
전주 두울나비랑 한옥스테이.jpg,전주 두울나비랑 한옥스테이,전주 사랑루 한옥스테이,0.7692,🚫 복사 안함 (유사도 낮음)
전주 들꽃사랑채펜션.jpg,전주 들꽃사랑채펜션,전주 들꽃사랑채펜션,1.0,✔ 복사됨
전주 똘랑 독채 한옥스테이.jpg,전주 똘랑 독채 한옥스테이,전주 사랑루 한옥스테이,0.7692,🚫 복사 안함 (유사도 낮음)
전주 똘랑코티지한옥독채펜션.jpg,전주 똘랑코티지한옥독채펜션,전주 똘랑코티지한옥독채펜션,1.0,✔ 복사됨
전주 뜨레가 한옥스테이.jpg,전주 뜨레가 한옥스테이,전주 명문가 한옥스테이,0.8333,🚫 복사 안함 (유사도 낮음)
전주 뜨레가한옥펜션.jpg,전주 뜨레가한옥펜션,전주 뜨레가한옥펜션,1.0,✔ 복사됨
전주 뜰안채 한옥스테이.jpg,전주 뜰안채 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
전주 뜰안채펜션.jpg,전주 뜰안채펜션,전주 뜰안채펜션,1.0,✔ 복사됨
전주 라베호텔(LABE HOTEL).jpg,전주 라베호텔(LABE HOTEL),전주 라베호텔(LABE HOTEL),1.0,✔ 복사됨
전주 라온 꿀잠 한옥스테이.jpg,전주 라온 꿀잠 한옥스테이,전주 라온 꿀잠 한옥스테이,1.0,✔ 복사됨
전주 루엘호텔 덕진공원본점.jpg,전주 루엘호텔 덕진공원본점,전주 루엘호텔 덕진공원본점,1.0,✔ 복사됨
전주 루와펜션.jpg,전주 루와펜션,전주 루와펜션,1.0,✔ 복사됨
전주 마리 호텔.jpg,전주 마리 호텔,전주 마리 호텔,1.0,✔ 복사됨
전주 마리호텔 덕진공원점.jpg,전주 마리호텔 덕진공원점,전주 마리 덕진공원점,0.9167,✔ 복사됨
전주 마리호텔 터미널점.jpg,전주 마리호텔 터미널점,전주 마리 터미널점,0.9091,✔ 복사됨
전주 메이드호텔.jpg,전주 메이드호텔,전주 루이호텔,0.8,🚫 복사 안함 (유사도 낮음)
전주 명문가 한옥스테이.jpg,전주 명문가 한옥스테이,전주 명문가 한옥스테이,1.0,✔ 복사됨
전주 명문가펜션.jpg,전주 명문가펜션,전주 가은채펜션,0.75,🚫 복사 안함 (유사도 낮음)
전주 모꼬지 한옥스테이.jpg,전주 모꼬지 한옥스테이,전주 퐁당 한옥스테이,0.7826,🚫 복사 안함 (유사도 낮음)
