name,count
전주 꽃자리펜션,43
호텔 투썸스테이 전주 서신점,43
전주 우아동 릴렉스호텔,43
전주 서노송동 코아,41
전주 꽃무릇펜션,41
전주 호텔야자 중화산점,40
전주 소담소담펜션,40
전주 나나,39
전주 산정동 하운드호텔 전주아중지구,39
전주 고사동 호텔한성,38
전주 한옥마을 흥부가,38
전주 사랑루 한옥스테이,37
전주 대명여관펜션,37
완주 소풍가는날펜션,37
전주 엑스오 XO 호텔,36
전주 교동가온 한옥스테이,36
전주 한옥마을 취락당,35
전주한옥마을 메종,35
전주 우아동 호텔 늘,35
전주 1928 쉼마루 한옥스테이,35
전주한옥마을 게스트하우스,35
전주 늘품호텔,35
전주 한옥고택고을,34
전주 인트로 호텔,34
MH HOTEL 중화산점,33
전주 고사동 씨네마,33
전주 한옥마을 뜰안채 신관,33
전주 흥부가 한옥스테이,33
전주 사랑가득 한옥스테이,32
전주한옥마을 풍남주택,31
전주 한옥마을덕수궁펜션,31
전주 금암동 아리랑 호텔,31
전주 한옥마을 쉼마루,31
칼튼힐 호텔 전주,31
전주 인터내셔널 호스텔,31
전주한옥마을 아침스테이,30
전주 효자동 캐슬,30
투썸스테이 서신점,30
전주 알지비 게스트하우스,30
전주 제니홈 게스트하우스,30
전주 스테이노트,29
전주 한옥마을 다정 게스트하우스,28
전주한옥마을호텔,28
전주 태평동 케이비호텔,28
전주 한옥마을 감영루,28
전주 한옥마을 고현당,28
전주 산정동 태극,28
전주 별빛궁한옥펜션,27
전주 한옥마을 한옥마당 행랑채,27
전주 아늑료칸호텔 전주점,27
전주 뜰안채 한옥스테이,27
전주 덕진동 타미,27
전주 푸실한옥스테이펜션,27
전주 우아동 맨하탄,26
완주 카리브,25
전주 산정동 료칸호텔-엣지,25
전주 가락청한옥펜션,25
전주 라임 무인텔,25
전주 한옥마을 유정 게스트하우스,24
전주 행복가득 한옥스테이,23
전주 누리봄 게스트하우스,23
전주 해밀 펜션,23
전주 한옥마을비하녹,23
전주 산정동 호텔 레이나,23
전주 전주한옥온유,23
