name,count
전주 중앙동 감영루 한옥텔,172
전주 호텔 더 빈센트,172
전주 별자리한옥스테이펜션,171
전주 갤러리스테이,168
전주 취락당 한옥스테이,167
이비스 스타일 앰배서더호텔 전주,163
전주 뜰안채펜션,160
전주 금암동 황토,159
전주 산정동 테라,159
전주 온고을 한옥스테이,158
전주 정가한옥 & 더정가 스테이,157
전주 신시가지 애플,153
전주 우아동 명품 HOTEL,147
전주 경원동 호텔 다빈(HOTEL DAVIN),145
전주 한옥마을 덕수궁 한옥스테이,144
전주 경기전별당채펜션,142
전주 우아동 아미르,136
전주 더클래식 바이 호텔원,136
하운드호텔 전주아중지구,132
전주 한옥마을담소황토펜션,131
전주 진북동 경동,130
전주 우아동 첫마중,128
전주 신시가지 호텔 U,127
전주 에비뉴 호텔,124
전주 우아동 박스호텔,124
전주 산정동 NABI(나비),122
전주 산정동 제이브라운 호텔,122
전주 교동살래 한옥스테이,118
전주 금암동 어썸호텔,117
전주 금암동 로즈마리,115
전주 브라이튼 호텔,107
화이트 관광호텔,107
전주 중화산동 프린스,105
호텔 에코스테이,103
전주 도란도란카라반글램핑펜션,101
24게스트하우스 전주점,101
전주 호텔 아라리,99
전주 루엘호텔 덕진공원본점,97
완주 혁신도시 드래곤호텔,93
전주 동산동 편백,93
전주 별빛쉼터 한옥스테이,92
전주 중화산동 라베호텔(LABE HOTEL),88
베니키아 전주 한성 호텔,86
위너 호텔,86
전주 산정동 호텔 에이플러스(A+),85
전주 전주한옥마을웨이펜션,84
전주 우아동 쉐르빌,84
전주 나비잠한옥호텔,84
전주 진북동 장미,83
전주 비지트호텔(VIZIT),80
전주 산정동 호텔 샾(Hotel Sharp),79
전주 호텔토랑,79
전주 우아동 에이치호텔,75
전주 MH HOTEL 객리단길점,74
전주 우아동 HOTEL SOL(솔),72
전주 한옥호텔 태조궁,72
전주 덕진동 H Avenue 전주덕진점(신관),67
전주 금암동 타임,66
전주 더머뭄 한옥스테이,65
칼튼힐 전주,64
전주 한옥마을 한옥미쁨,63
전주 우아동 임페리얼,62
전주 바라한호텔,60
전주 금암동 아늑 료칸호텔 (터미널점),58
전주 중앙동 라온 호텔,58
전주 금암동 신성파크텔,57
전주 투헤븐호텔,55
전주 서선야 한옥스테이,54
전주 다나하루 게스트하우스,53
전주 경기전 별당채 한옥스테이,52
전주 블루보트 게스트하우스,50
전주 도원 게스트하우스,50
