name,category,rating_score,rating_count,address
카마호텔 전주,호텔비즈니스,9.6,427,전북특별자치도전주시 완산구 중화산동2가 142-1
전주 루엘호텔 덕진공원 본점,호텔2성급,9.8,257,전북특별자치도전주시 덕진구 덕진동2가 200-6
전주 칼튼 힐 호텔,모텔,9.6,659,전북특별자치도 전주시 덕진구 금암동 461-15
전주 후,모텔,9.3,3243,전북특별자치도 전주시 덕진구 금암동 763-13
전주 타임 호텔,모텔,9.5,151,전북특별자치도전주시 완산구 효자동3가 1532-15
전주 스테이노트,펜션풀빌라,9.9,30,전북특별자치도전주시 완산구 다가동1가 44-9
전주 애플모텔,모텔,9.3,159,전북특별자치도 전주시 완산구 효자동3가 1532-3
전주 한옥호텔 궁,모텔,9.4,400,전북특별자치도 전주시 완산구 중앙동4가 85-2
전주 MH호텔 객리단길점,호텔비즈니스,9.4,122,전북특별자치도전주시 완산구 다가동3가 64-24
전주 플렉스호텔,모텔,9.7,1592,전북특별자치도 전주시 덕진구 산정동 870-1
이비스 스타일 앰배서더 전주,호텔3성급,9.3,98,전북특별자치도 전주시 완산구 고사동 186
전주 한옥마을 별빛궁,게하 · 한옥,9.9,426,전라북도 전주시 완산구 풍남동3가 54-7
전주한옥호텔 태조궁,호텔비즈니스,9.2,64,전북특별자치도 전주시 완산구 중앙동4가 31-7
전주 호텔야자 전주터미널점,모텔,9.4,254,전북특별자치도 전주시 덕진구 금암동 698-4
전주 스페셜,모텔,8.8,397,전북특별자치도전주시 완산구 중화산동2가 143-4
호텔 바라한,호텔비즈니스,9.4,112,전북특별자치도전주시 덕진구 금암동 698-6
엔브릿지 호텔,호텔3성급,9.3,357,전북특별자치도전주시 완산구 동서학동 66
전주 몽블랑,모텔,9.7,342,전북특별자치도 전주시 완산구 중화산동2가 661-7
전주 한옥마을 한지꿀잠,펜션,9.2,95,전북특별자치도 전주시 완산구 풍남동3가 81-6
전주 에비뉴호텔,모텔,9.7,2016,전북특별자치도 전주시 덕진구 산정동 872-7
전주 핀앤핏하우스,모텔,8.9,328,전북특별자치도전주시 덕진구 덕진동1가 1277-4
전주 한옥마을 인디고,게하 · 한옥,9.9,216,전북특별자치도 전주시 완산구 풍남동2가 11-1
전주 메이드HOTEL MADE,모텔,9.7,3263,전북특별자치도 전주시 덕진구 산정동 871-2
아늑호텔 전주점,호텔관광,9.7,154,전북특별자치도전주시 덕진구 산정동 859-2
전주 그랜드힐스턴 호텔,호텔3성급,9.2,180,전북특별자치도 전주시 완산구 효자동3가 1404-3
전주 POP,모텔,9.1,422,전북특별자치도 전주시 완산구 효자동3가 1537-2
전주 한옥마을 한옥미담,게하 · 한옥,9.8,255,전라북도 전주시 완산구 풍남동1가 9-8
전주 호텔야자 중화산점,모텔,9.4,41,전북특별자치도 전주시 완산구 중화산동2가 649-4
전주 한옥마을 한옥고택 고을,게하 · 한옥,9.9,179,전라북도 전주시 완산구 풍남동3가 76-63
전주 MH호텔 중화산동점,호텔비즈니스,9.5,75,전북특별자치도전주시 완산구 중화산동2가 657-2
에이치에비뉴 덕진점,호텔비즈니스,9.8,68,전북특별자치도 전주시 덕진구 덕진동2가 189-21
전주 왕의지밀 한옥호텔,호텔특급,9.4,131,전북특별자치도 전주시 완산구 대성동 1-1
전주 릴렉스호텔,모텔,9.7,335,전북특별자치도 전주시 덕진구 우아동2가 925-1
전주 코아,모텔,8.7,122,전북특별자치도 전주시 완산구 서노송동 660-43
전주한옥마을 독채 덕수궁 별관,펜션,9.7,22,전북특별자치도 전주시 완산구 풍남동3가 12-6
전주 엘림호텔,모텔,9.2,264,전북특별자치도전주시 완산구 중화산동2가 660-6
전주 비지트호텔,호텔비즈니스,9.3,673,전북특별자치도전주시 덕진구 우아동2가 919-8
전주 투헤븐,모텔,9.5,1727,전북특별자치도 전주시 덕진구 금암동 474-5
전주 아미르,모텔,8.6,1310,전북특별자치도 전주시 덕진구 우아동2가 930-9
전주 관광호텔 꽃심,호텔3성급,9.7,285,전북특별자치도 전주시 완산구 경원동1가 102
전주 돈키호테 드라이브인 무인텔,모텔,9.6,153,전북특별자치도 전주시 덕진구 산정동 867-1
전주 MOMENT708,모텔,9.2,717,전북특별자치도전주시 덕진구 덕진동1가 1174-3
호텔 아라리,호텔2성급,9.6,116,전북특별자치도전주시 덕진구 금암동 753-1
전주 구름채 게스트하우스,게하 · 한옥,9.4,271,전라북도 전주시 완산구 풍남동1가 66-9 3층
전주 다온호텔,호텔2성급,9.8,76,전북특별자치도전주시 완산구 동서학동 6-11
