name,category,rating_score,rating_count,address,source,image,lat,lng
전주 호텔야자 중화산점,모텔,9.4,41,전북특별자치도 전주시 완산구 한두평3길 5,y,전주 호텔야자 중화산점.jpg,35.8148938,127.1234975
전주 한옥마을 한옥고택 고을,게하 · 한옥,9.9,179,전북특별자치도 전주시 완산구 최명희길 26-7,y,전주 한옥마을 한옥고택 고을.jpg,35.8162452,127.1514991
에이치에비뉴 덕진점,호텔비즈니스,9.8,68,전북특별자치도 전주시 덕진구 덕진연못3길 9-3,y,에이치에비뉴 덕진점.jpg,35.8470704,127.1201968
전주 왕의지밀 한옥호텔,호텔특급,9.4,131,전북특별자치도 전주시 완산구 춘향로 5218-20,y,전주 왕의지밀 한옥호텔.jpg,35.8005168,127.1771084
전주 릴렉스호텔,모텔,9.7,335,전북특별자치도 전주시 덕진구 아중4길 6-9,y,전주 릴렉스호텔.jpg,35.8313938,127.1740132
전주 코아,모텔,8.7,122,전북특별자치도 전주시 완산구 팔달로 286-7,y,전주 코아.jpg,35.8278678,127.1432719
전주한옥마을 독채 덕수궁 별관,펜션,9.7,22,전북특별자치도 전주시 완산구 기린대로 72,y,전주한옥마을 독채 덕수궁 별관.jpg,35.8156934,127.1549583
전주 엘림호텔,모텔,9.2,264,전북특별자치도 전주시 완산구 한두평3길 7-4,y,전주 엘림호텔.jpg,35.8150237,127.1239292
전주 투헤븐,모텔,9.5,1727,전북특별자치도 전주시 덕진구 용산2길 7,y,전주 투헤븐.jpg,35.8363172,127.1314037
전주 아미르,모텔,8.6,1310,전북특별자치도 전주시 덕진구 아중2길 14-4,y,전주 아미르.jpg,35.8298055,127.1741726
전주 관광호텔 꽃심,호텔3성급,9.7,285,전북특별자치도 전주시 완산구 팔달로 171,y,전주 관광호텔 꽃심.jpg,35.8177688,127.1467722
전주 돈키호테 드라이브인 무인텔,모텔,9.6,153,전북특별자치도 전주시 덕진구 산정3길 17,y,전주 돈키호테 드라이브인 무인텔.jpg,35.8381304,127.1696748
전주 MOMENT708,모텔,9.2,717,전북특별자치도 전주시 덕진구 가리내로 126,y,전주 MOMENT708.jpg,35.8361075,127.1227276
호텔 아라리,호텔2성급,9.6,116,전북특별자치도 전주시 덕진구 떡전5길 24,y,호텔 아라리.jpg,35.8376717,127.1304975
전주 구름채 게스트하우스,게하 · 한옥,9.4,271,전북특별자치도 전주시 완산구 경기전길 45,y,전주 구름채 게스트하우스.jpg,35.8172988,127.150573
전주 다온호텔,호텔2성급,9.8,76,전북특별자치도 전주시 완산구 전주천서로 49,y,전주 다온호텔.jpg,35.8185902,127.1399885
전주 라임 호텔HOTEL LIME,모텔,9.8,824,전북특별자치도 전주시 덕진구 아중4길 13-3,y,전주 라임 호텔HOTEL LIME.jpg,35.8301567,127.1739884
전주 감스테이,모텔,9.6,631,전북특별자치도 전주시 덕진구 산정3길 30,y,전주 감스테이.jpg,35.8391862,127.169399
전주 한옥마을 골목길 게스트하우스,게하 · 한옥,9.4,295,전북특별자치도 전주시 완산구 향교길 91-3,y,전주 한옥마을 골목길 게스트하우스.jpg,35.8121394,127.1545837
전주 한옥 몽유화원,게하 · 한옥,8.8,98,전북특별자치도 전주시 완산구 서학3길 85-1,y,전주 한옥 몽유화원.jpg,35.8092175,127.1516527
전주 에이플러스,모텔,9.6,545,전북특별자치도 전주시 덕진구 동부대로 527,y,전주 에이플러스.jpg,35.8382503,127.1702072
전주 한옥마을 꽃잠,게하 · 한옥,9.9,400,전북특별자치도 전주시 완산구 동문길 19-14,y,전주 한옥마을 꽃잠.jpg,35.8187132,127.1528477
전주 Stay 테오리아,펜션,9.9,10,전북특별자치도 전주시 완산구 동문길 51-8,y,전주 Stay 테오리아.jpg,35.8184805,127.1510359
전주 인트로 호텔,모텔,9.4,41,전북특별자치도 전주시 완산구 한두평1길 11,y,전주 인트로 호텔.jpg,35.8126384,127.1243679
전주한옥마을 독채 덕수궁,게하 · 한옥,9.7,69,전북특별자치도 전주시 완산구 최명희길 26-40,y,전주한옥마을 독채 덕수궁.jpg,35.8167446,127.1516257
재즈 어라운드 관광 호텔,호텔관광,9.6,175,전북특별자치도 전주시 덕진구 정언신로 182,y,재즈 어라운드 관광 호텔.jpg,35.8314457,127.1733088
전주 서로 한옥펜션,펜션,9.4,69,전북특별자치도 전주시 완산구 한지길 100-12,y,전주 서로 한옥펜션.jpg,35.8157687,127.1534713
전주한옥마을 연우당,게하 · 한옥,9.9,96,전북특별자치도 전주시 완산구 태조로 12-17,y,전주한옥마을 연우당.jpg,35.8155726,127.1530973
늘품호텔,호텔1성급,9.4,254,전북특별자치도 전주시 완산구 기린대로 90,y,늘품호텔.jpg,35.8172276,127.1549885
전주 스토리,모텔,9.6,642,전북특별자치도 전주시 덕진구 용산2길 8,y,전주 스토리.jpg,35.8357545,127.1315502
전주한옥마을 하늘기와,게하 · 한옥,10.0,8,전북특별자치도 전주시 완산구 전주천동로 54-8,y,전주한옥마을 하늘기와.jpg,35.811618,127.1548358
전주 타미호텔TOMMY HOTEL,모텔,9.0,192,전북특별자치도 전주시 덕진구 권삼득로 383,y,전주 타미호텔TOMMY HOTEL.jpg,35.8466493,127.1210633
별둘 자쿠지 독채 펜션,펜션,9.8,10,전북특별자치도 전주시 완산구 간납대2길 59-3,y,별둘 자쿠지 독채 펜션.jpg,35.8165528,127.1601392
전주 갤러리 스테이,게하 · 한옥,9.9,240,전북특별자치도 전주시 완산구 동문길 54-23,y,전주 갤러리 스테이.jpg,35.8191815,127.1507331
전주한옥마을 덕수궁,게하 · 한옥,9.7,326,전북특별자치도 전주시 완산구 간납로 10,y,전주한옥마을 덕수궁.jpg,35.8166144,127.1557394
전주 한옥 영하우스,펜션,9.7,47,전북특별자치도 전주시 완산구 팔달로 292-4,y,전주 한옥 영하우스.jpg,35.8279395,127.1428937
전주 자우리,모텔,9.5,553,전북특별자치도 전주시 덕진구 아중4길 13-4,y,전주 자우리.jpg,35.8301169,127.1736796
전주 바른 숙박BARUN STAY,모텔,9.3,133,전북특별자치도 전주시 덕진구 산정1길 32,y,전주 바른 숙박BARUN STAY.jpg,35.8386778,127.1677518
전주 워너비,모텔,9.1,1016,전북특별자치도 전주시 덕진구 덕진연못3길 8-4,y,전주 워너비.jpg,35.8463852,127.1209453
전주 정가 한옥,게하 · 한옥,9.7,148,전북특별자치도 전주시 완산구 기린대로 78-3,y,전주 정가 한옥.jpg,35.8163403,127.155117
전주 마음엔뜰,홈&빌라,10.0,8,전북특별자치도 전주시 완산구 중인1길 184,y,전주 마음엔뜰.jpg,35.7635766,127.0906547
전주한옥마을 도화서가 스테이 독채펜션,펜션,9.9,6,전북특별자치도 전주시 완산구 동문길 93,y,전주한옥마을 도화서가 스테이 독채펜션.jpg,35.8179977,127.1489808
전주 뷰티,모텔,9.2,593,전북특별자치도 전주시 덕진구 용산3길 8,y,전주 뷰티.jpg,35.8366624,127.1319152
24게스트하우스 전주점,게하 · 한옥,9.7,207,전북특별자치도 전주시 완산구 현무3길 56,y,24게스트하우스 전주점.jpg,35.8221964,127.1503411
전주 한옥마을 소리풍경,게하 · 한옥,9.4,68,전북특별자치도 전주시 완산구 태조로 12-5,y,전주 한옥마을 소리풍경.jpg,35.8153532,127.1532166
전주 기린 게스트하우스,게하 · 한옥,9.3,165,전북특별자치도 전주시 완산구 현무3길 34,y,전주 기린 게스트하우스.jpg,35.8215133,127.1512672
전주 블루원,모텔,9.2,726,전북특별자치도 전주시 덕진구 용산2길 18,y,전주 블루원.jpg,35.8355859,127.1316201
전주 한옥마을 산아래,게하 · 한옥,9.7,210,전북특별자치도 전주시 완산구 오목대길 56,y,전주 한옥마을 산아래.jpg,35.813153,127.1532925
전주한옥마을 아침스테이,펜션,9.8,31,전북특별자치도 전주시 완산구 팔달로 150-5,y,전주한옥마을 아침스테이.jpg,35.815924,127.1483312
