name,category,rating_score,rating_count,feature,addr,source,image,lat,lng
전주 호텔루나,모텔/호텔,4.7,2426,전주역한옥마을전북대시청터미널10분,전북특별자치도 전주시 덕진구 아중4길 14-7,n,전주 호텔루나.jpg,35.8308647,127.1732866
전주 마리 덕진공원점,모텔/호텔,4.6,5486,버스터미널2분덕진공원1분한옥마을10분,전북특별자치도 전주시 덕진구 덕진연못3길 9-5,n,전주 마리 덕진공원점.jpg,35.8472043,127.1199323
베스트웨스턴플러스 전주호텔,모텔/호텔,4.4,1191,전주시 전주 한옥마을 도보 10분,전북특별자치도 전주시 완산구 현무1길 41,n,베스트웨스턴플러스 전주호텔.jpg,35.8224402,127.1470122
전주 비지트 호텔VIZIT HOTEL,모텔/호텔,4.9,1364,전주한옥마을전주터미널 7분클릭,전북특별자치도 전주시 덕진구 아중중앙로 20,n,전주 비지트 호텔VIZIT HOTEL.jpg,35.8301208,127.1723749
전주 투나잇2NIGHT,모텔/호텔,5.0,1527,전주 출장여행 추천 신축호텔,전북특별자치도 전주시 덕진구 아중4길 16,n,전주 투나잇2NIGHT.jpg,35.83061,127.1734188
전주 금암동 뷰티 호텔,모텔/호텔,4.8,3237,버스터미널1분 전주역10분 한옥마을10분,전북특별자치도 전주시 덕진구 용산3길 8,n,전주 금암동 뷰티 호텔.jpg,35.8366624,127.1319152
전주 다온호텔,모텔/호텔,4.8,453,전주한옥마을 도보 1분 거리,전북특별자치도 전주시 완산구 전주천서로 49,n,전주 다온호텔.jpg,35.8185902,127.1399885
전주 윈져,모텔/호텔,4.4,2411,버스터미널1분 전주역10분,전북특별자치도 전주시 덕진구 용산1길 6-3,n,전주 윈져.jpg,35.8352903,127.1300358
전주 금암동 호텔 화이트(HOTEL WHITE),모텔/호텔,4.8,1027,한옥마을7분 버스터미널2분 전북대2분,전북특별자치도 전주시 덕진구 전주천동로 501,n,전주 금암동 호텔 화이트(HOTEL WHITE).jpg,35.8371797,127.1309731
전주 우아동 호텔 젠,모텔/호텔,4.2,4608,한옥마을7분 전주역2분 전주터미널7분,전북특별자치도 전주시 덕진구 아중4길 14-4,n,전주 우아동 호텔 젠.jpg,35.8307891,127.1736571
전주 우아동 호텔 캐슬,모텔/호텔,4.7,1799,한옥마을 10분 전주역 2분 터미널7분,전북특별자치도 전주시 덕진구 아중4길 10-4,n,전주 우아동 호텔 캐슬.jpg,35.830873,127.174107
전주 호텔 달빛소리 드라이브인,모텔/호텔,4.9,1265,전주역 차랑 5분,전북특별자치도 전주시 덕진구 산정2길 12-21,n,전주 호텔 달빛소리 드라이브인.jpg,35.8378354,127.1696974
전주 한옥마을 늘품호텔,모텔/호텔,4.9,834,전주한옥마을 도보 1분,전북특별자치도 전주시 완산구 기린대로 90,n,전주 한옥마을 늘품호텔.jpg,35.8172276,127.1549885
전주 다가동 MH HOTEL 객리단점,모텔/호텔,4.7,1080,객리단길 내 한옥마을 도보 5분,전북특별자치도 전주시 완산구 전주천동로 230-5,n,전주 다가동 MH HOTEL 객리단점.jpg,35.817183,127.1398136
전주 칼튼 힐 호텔,모텔/호텔,4.8,2854,전주버스터미널 1분전북대학교 4분,전북특별자치도 전주시 덕진구 용산3길 35,n,전주 칼튼 힐 호텔.jpg,35.8347435,127.1344824
전주 애플모텔,모텔/호텔,4.7,235,애플모텔전북특별자치도청 도보 5분거리,전북특별자치도 전주시 완산구 홍산북로 50,n,전주 애플모텔.jpg,35.8172944,127.1073436
전주한옥마을호텔,모텔/호텔,4.8,29,전주시 완산구 동서학동,전북특별자치도 전주시 완산구 전주천서로 45,n,전주한옥마을호텔.jpg,35.8185902,127.1399885
전주 스마일,모텔/호텔,4.7,2898,덕진예술회관건물뒷편위치,전북특별자치도 전주시 덕진구 송천중앙로 12-12,n,전주 스마일.jpg,35.8475694,127.1192209
전주 호텔 더 빈센트,모텔/호텔,4.9,184,전주한옥마을 도보 3분,전북특별자치도 전주시 완산구 전라감영로 76,n,전주 호텔 더 빈센트.jpg,35.8156922,127.14746
전주 한옥마을 비하녹,펜션,5.0,23,전주시 완산구 중앙동,전북특별자치도 전주시 완산구 풍남문4길 26-34,n,전주 한옥마을 비하녹.jpg,35.8143547,127.145974
전주 우아동 에이치호텔,모텔/호텔,4.6,87,넷플티빙왓챠디즈니애플 시청가능,전북특별자치도 전주시 덕진구 아중4길 23-6,n,전주 우아동 에이치호텔.jpg,35.8296749,127.1728544
전주 재즈어라운드 호텔,모텔/호텔,4.7,490,한옥마을 차량 5분전주역5분전북대8분,전북특별자치도 전주시 덕진구 정언신로 182,n,전주 재즈어라운드 호텔.jpg,35.8314457,127.1733088
전주 중화산동 호텔 루고(RUGO),모텔/호텔,4.9,208,한옥마을 차량10분 막걸리거리 차량8분,전북특별자치도 전주시 완산구 한두평4길 5-5,n,전주 중화산동 호텔 루고(RUGO).jpg,35.8159981,127.1235902
전주 그랜드힐스턴호텔,모텔/호텔,4.7,439,전주시 완산구,전북특별자치도 전주시 완산구 서곡5길 22-5,n,전주 그랜드힐스턴호텔.jpg,35.8381722,127.1005664
전주 후,모텔/호텔,4.7,2771,버스터미널1분 전주역10분 한옥마을10분,전북특별자치도 전주시 덕진구 용산1길 12-2,n,전주 후.jpg,35.8351755,127.1302288
전주 산정동 첫번째 호텔,모텔/호텔,4.8,2186,한옥마을전주역버스터미널 근접,전북특별자치도 전주시 덕진구 산정1길 30,n,전주 산정동 첫번째 호텔.jpg,35.838635,127.1675944
전주 호텔다빈,모텔/호텔,4.8,152,한옥마을 도보 5분,전북특별자치도 전주시 완산구 팔달로 160,n,전주 호텔다빈.jpg,35.816772,127.1478207
전주 호텔박스한옥마을 아중리점,모텔/호텔,4.6,180,한옥마을 10분박스호텔위치,전북특별자치도 전주시 덕진구 아중4길 20-5,n,전주 호텔박스한옥마을 아중리점.jpg,35.8308616,127.1727605
전주 서신동 호텔 아지트,모텔/호텔,4.8,1108,신축 오픈 한옥마을전주역터미널10분,전북특별자치도 전주시 완산구 여울로 25,n,전주 서신동 호텔 아지트.jpg,35.8355985,127.1206834
전주 우아동 소울,모텔/호텔,4.5,814,한옥마을10분 전주역2분,전북특별자치도 전주시 덕진구 아중4길 14-9,n,전주 우아동 소울.jpg,35.8311339,127.1731444
전주 엔브릿지호텔,모텔/호텔,4.5,428,한옥마을 도보1분거리 위치,전북특별자치도 전주시 완산구 전주천서로 81,n,전주 엔브릿지호텔.jpg,35.8098982,127.1524166
전주 중화산동 스페셜,모텔/호텔,4.6,977,중화산동 2가 위치,전북특별자치도 전주시 완산구 한두평2길 8-7,n,전주 중화산동 스페셜.jpg,35.8129791,127.1238724
전주 쿡,모텔/호텔,4.7,614,효자동신시가지 내에 위치클릭,전북특별자치도 전주시 완산구 홍산북로 84-10,n,전주 쿡.jpg,35.8170658,127.1106722
전주 산정동 아리아,모텔/호텔,4.8,375,전주역 5분 이내,전북특별자치도 전주시 덕진구 산정1길 12-4,n,전주 산정동 아리아.jpg,35.8371025,127.1691809
전주 루엘호텔 덕진공원본점,모텔/호텔,4.8,116,덕진공원 앞 도보 1분,전북특별자치도 전주시 덕진구 기린대로 540,n,전주 루엘호텔 덕진공원본점.jpg,35.8463755,127.1205858
전주 나비잠한옥호텔,모텔/호텔,4.8,95,전주 경기전 도보 2분,전북특별자치도 전주시 완산구 팔달로 150-17,n,전주 나비잠한옥호텔.jpg,35.8161528,127.1486202
전주 위너,모텔/호텔,5.0,902,한옥마을10분 전주역2분 터미널7분,전북특별자치도 전주시 덕진구 아중4길 20,n,전주 위너.jpg,35.8303746,127.1730143
전주 플렉스호텔,모텔/호텔,4.4,1693,전주한옥마을차량10분 전주역차량 7분,전북특별자치도 전주시 덕진구 산정2길 11,n,전주 플렉스호텔.jpg,35.8372624,127.1692313
전주 금암동 황토,모텔/호텔,4.8,356,전주버스터미널 도보 3분,전북특별자치도 전주시 덕진구 용산1길 5-4,n,전주 금암동 황토.jpg,35.8358181,127.1307168
전주 브라이튼 호텔,모텔/호텔,4.7,122,막걸리거리8분 한옥마을10분,전북특별자치도 전주시 완산구 한두평2길 8-3,n,전주 브라이튼 호텔.jpg,35.8132924,127.1239952
전주 에코스테이 호텔,모텔/호텔,4.8,1681,에코시티 최초의 호텔 위치보기,전북특별자치도 전주시 덕진구 세병서로 8-27,n,전주 에코스테이 호텔.jpg,35.8714717,127.1228096
전주 금암동 블루원,모텔/호텔,4.5,1601,버스터미널1분 전주역10분,전북특별자치도 전주시 덕진구 용산2길 18,n,전주 금암동 블루원.jpg,35.8355859,127.1316201
전주 타임 호텔,모텔/호텔,5.0,324,전주시 완산구 효자5동,전북특별자치도 전주시 완산구 홍산북로 46-5,n,전주 타임 호텔.jpg,35.8170696,127.1071645
전주 금암동 토마토,모텔/호텔,4.4,1490,전주버스터미널 차량 3분위치보기,전북특별자치도 전주시 덕진구 용산3길 18,n,전주 금암동 토마토.jpg,35.836056,127.1328429
전주 노이 호텔,모텔/호텔,4.8,662,한옥마을11분 전주역8분 버스터미널17분,전북특별자치도 전주시 덕진구 아중4길 21,n,전주 노이 호텔.jpg,35.8300402,127.1729791
전주 엘도라도,모텔/호텔,4.6,2025,막걸리타운차량10분한옥마을차량10분,전북특별자치도 전주시 완산구 한두평4길 11-3,n,전주 엘도라도.jpg,35.8159627,127.1241614
전주 뜰안채펜션,펜션,4.8,172,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 어진길 90-10,n,전주 뜰안채펜션.jpg,35.8173856,127.1497985
전주 우아동 필,모텔/호텔,4.8,279,전북대 차량 8분위치보기,전북특별자치도 전주시 덕진구 도당산로 65-4,n,전주 우아동 필.jpg,35.847533,127.1570846
전주 이카로스,모텔/호텔,4.3,2006,버스터미널1분 전주역 한옥마을10분,전북특별자치도 전주시 덕진구 용산2길 20,n,전주 이카로스.jpg,35.8353558,127.1318703
전주 금암동 브라운도트 전주터미널점,모텔/호텔,4.9,1130,터미널도보1분한옥마을10분전주역10분,전북특별자치도 전주시 덕진구 용산1길 12-4,n,전주 금암동 브라운도트 전주터미널점.jpg,35.8349444,127.1299176
전주 도란도란카라반글램핑펜션,펜션,4.8,108,전주시 완산구 노송동,전북특별자치도 전주시 완산구 간납로 13,n,전주 도란도란카라반글램핑펜션.jpg,35.8170195,127.1562115
전주 더 메이 호텔,모텔/호텔,4.9,46,전주월드컵경기장 42,전북특별자치도 전주시 덕진구 기린대로 800,n,전주 더 메이 호텔.jpg,35.8596902,127.0957812
전주한옥마을 웨이,펜션,4.5,89,전주시 완산구 풍남동,전북특별자치도 전주시 완산구 은행로 16,n,전주한옥마을 웨이.jpg,35.8184907,127.1516918
